id,name,address,symbol,chain,gecko_id,audits,cmcId,category,chains,oracles,slug,tvl,fdv,mcap,R_ExtractDate
356,Dopple Finance,bsc:0x844fa82f1e54824655470970f7004dd90546bb28,DOP,Multi-Chain,dopple-finance,2,9489,Algo-Stables,"['Binance', 'Fantom', 'Harmony']",,dopple-finance,613843.9145193581,,0.0,2022-07-23
1233,Creditum,fantom:0x77128DFdD0ac859B33F44050c6fa272F34872B5E,CREDIT,Fantom,,0,,Algo-Stables,['Fantom'],,creditum,504563.75591091835,,,2022-07-23
1226,Oin Finance,0x9aeB50f542050172359A0e1a25a9933Bc8c01259,OIN,Multi-Chain,oin-finance,2,6870,Algo-Stables,"['Ethereum', 'Harmony', 'Near']",['DIA'],oin-finance,481767.19597171026,,775202.0,2022-07-23
1794,Ostable,,-,Obyte,,0,,Algo-Stables,['Obyte'],[],ostable,439842.6535990131,,,2022-07-23
169,Basis Cash,0x3449fc1cd036255ba1eb19d65ff4ba2b8903a69a,BAC,Ethereum,basis-cash,2,7813,Algo-Stables,['Ethereum'],,basis-cash,385647.07982059766,210646.0,210646.0,2022-07-23
1910,ShiftDollar,cronos:0x4f9bd6be8455ee2b3c7ff76bbb885e6654797137,SHIFT,Cronos,,0,,Algo-Stables,['Cronos'],[],shiftdollar,348169.37368615775,,,2022-07-23
1827,SaharaDAO,cronos:0xc9b23289c60783649aa327732fccec2f5d0ac466,MNG,Cronos,saharadao,2,,Algo-Stables,['Cronos'],['Chainlink'],saharadao,280884.43558823375,8930375.0,0.0,2022-07-23
1915,Nava finance,rei:0x46D741b89102815710efeA3051291E64Ff49C228,NAVA,REI,,0,,Algo-Stables,['REI'],[],nava-finance,181827.93326280607,,,2022-07-23
1279,Tulip,oasis:0x9e832CaE5d19e7ff2f0D62881D1E33bb16Ac9bdc,TULIP,Oasis,tulip,0,,Algo-Stables,['Oasis'],['TWAP'],tulip,150482.55822127493,,,2022-07-23
702,Coffin Finance,fantom:0x593ab53baffaf1e821845cf7080428366f030a9c,COFFIN,Fantom,coffin-finance,2,12765,Algo-Stables,['Fantom'],,coffin-finance,144037.1963322361,710245.0,0.0,2022-07-23
1811,Spice Trade,0x18a1Ea69A50A85752b7bC204a2c45A95Ce6E429d,SPICE,Multi-Chain,spice-trade,0,20328,Algo-Stables,"['Ethereum', 'Avalanche', 'Polygon', 'Binance']",[],spice-trade,97400.8416831473,500089.0,28405.0,2022-07-23
1680,Orcus Finance,astar:0xCdB32eEd99AA19D39e5d6EC45ba74dC4afeC549F,ORU,Astar,,2,,Algo-Stables,['Astar'],['DIA'],orcus-finance,96403.59657067331,,,2022-07-23
1277,Paprprintr,bsc:0x246475df8703be0c2ba2f8d0fb7248d95cc1ba26,PAPR,Multi-Chain,paprprintr-finance,2,,Algo-Stables,"['Kucoin', 'Binance', 'Polygon', 'Fantom', 'Aurora', 'OKExChain']",,paprprintr,67411.75322442595,,0.0,2022-07-23
1816,Ruby Finance,kava:0xCa7350Ed65c2fC90A9DBF2D15C75E80EA91aB1c1,RUBY,Kava,,0,,Algo-Stables,['Kava'],['TWAP'],ruby-finance,51356.44544834461,,,2022-07-23
1019,OpenDAO,bsc:0xaBaE871B7E3b67aEeC6B46AE9FE1A91660AadAC5,pOPEN,Multi-Chain,open-governance-token,2,7783,Algo-Stables,"['Binance', 'Ethereum']",,opendao,27356.57127760414,670018.0,77731.0,2022-07-23
1080,XUSD Money,0x1c9BA9144505aaBa12f4b126Fda9807150b88f80,XUSD,Ethereum,,0,8316,Algo-Stables,['Ethereum'],,xusd-money,27150.30897101447,,,2022-07-23
1504,Fantasm,fantom:0xaa621D2002b5a6275EF62d7a065A865167914801,FSM,Fantom,fantasm-fsm,0,18573,Algo-Stables,['Fantom'],['Chainlink'],fantasm,23383.976700701423,,0.0,2022-07-23
1483,V3S Finance,cronos:0xC7e99a2f064Cf86aF91Db252a9D8Bc16e6fE7427,V3S,Cronos,,0,,Algo-Stables,['Cronos'],[],v3s-finance,21866.91737432726,,,2022-07-23
1610,Pegasusdollar,cronos:0x8efbaa6080412d7832025b03b9239d0be1e2aa3b,PES,Cronos,,2,,Algo-Stables,['Cronos'],['TWAP'],pegasusdollar,18569.90629611197,,,2022-07-23
1528,Blindex,rsk:0x6542a10E68cEAc1Fa0641ec0D799a7492795AAC1,BDX,RSK,,2,,Algo-Stables,['RSK'],['Internal'],blindex,15710.397664499747,,,2022-07-23
1182,ChargeDeFi,bsc:0x1C6bc8e962427dEb4106aE06A7fA2d715687395c,CHARGE,Binance,chargedefi-charge,2,15495,Algo-Stables,['Binance'],,chargedefi,5653.029759683873,,0.0,2022-07-23
1413,Savanna Finance,cronos:0x654bAc3eC77d6dB497892478f854cF6e8245DcA9,SVN,Cronos,savanna,2,,Algo-Stables,['Cronos'],[],savanna-finance,4273.601092712293,,5543810.0,2022-07-23
1259,Pillar,,-,Zilliqa,,0,,Algo-Stables,['Zilliqa'],,pillar,3178.5575018525637,,,2022-07-23
1496,Grave Finance,avax:0x3700a92dd231F0CaC37D31dBcF4c0f5cCb1db6Ca,GRAVE,Avalanche,,0,,Algo-Stables,['Avalanche'],[],grave-finance,831.6737992204846,,,2022-07-23
1249,2omb Finance,fantom:0x7a6e4E3CC2ac9924605DCa4bA31d1831c84b44aE,2OMB,Fantom,2omb-finance,0,16936,Algo-Stables,['Fantom'],,2omb-finance,165.83911995888556,2584.84,0.0,2022-07-23
1649,Milky Cow,milkomeda:0xbd01b2CF2c514c7eC90827b8346354bb4f7832ab,COW,Milkomeda,,0,,Algo-Stables,['Milkomeda'],[],milky-cow,50.00990312021658,,,2022-07-23
1190,Magnet DAO,avax:0x1d60109178c48e4a937d8ab71699d8ebb6f7c5de,MAG,Avalanche,magnet-dao,0,,Algo-Stables,['Avalanche'],,magnet-dao,0.6649328748943867,41954267130444.0,2710259.0,2022-07-23
