id,name,address,symbol,chain,gecko_id,audits,cmcId,category,chains,oracles,slug,tvl,fdv,mcap,R_ExtractDate
1001,Giza DAO,fantom:0x3389492f36642f27F7bF4a7749fb3FC2c8fbB7EE,GIZA,Fantom,gizadao,0,15468,Reserve Currency,['Fantom'],,giza-dao,0.0,2491961.0,0.0,2022-07-23
1012,Pumpkin DAO,fantom:0x8eDDA0107D661E82df660DBa01Ff1D40FA17B70c,PUMP,Fantom,,0,,Reserve Currency,['Fantom'],,pumpkin-dao,0.0,,,2022-07-23
1037,RagnarokDAO,avax:0x46fCCf447f74ec97a521615fcE111118597071f7,RGK,Avalanche,ragnarokdao,0,16099,Reserve Currency,['Avalanche'],,ragnarokdao,0.0,4111593.0,0.0,2022-07-23
1061,CakeDAO,avax:0x4Eb49A2F9A79053866faE806fAc95A3eF5B92C05,CAKE,Avalanche,cake,0,16149,Reserve Currency,['Avalanche'],,cakedao,0.0,,0.0,2022-07-23
1090,Spicy DAO,avax:0x6007fca39b5398feac4d06d75435a564a086bab8,SPC,Avalanche,,0,,Reserve Currency,['Avalanche'],,spicy-dao,0.0,,,2022-07-23
1091,ZodiacDAO,bsc:0x98051143830fa99848e7059e97acb03b3cc62403,ZD,Binance,zodiacdao,2,16450,Reserve Currency,['Binance'],,zodiacdao,0.0,,0.0,2022-07-23
1099,Ara Finance,avax:0x2ced20fdfcbe72c27a607d0c9ab1c9ada598c60f,ARA,Avalanche,,0,,Reserve Currency,['Avalanche'],,ara-finance,0.0,,,2022-07-23
1101,SecureDAO,fantom:0x8183C18887aC4386CE09Dbdf5dF7c398DAcB2B5a,SCR,Fantom,secure,0,17085,Reserve Currency,['Fantom'],,securedao,0.0,,0.0,2022-07-23
1103,SnowCatDAO,avax:0x2558b8FBa8f678Fd3029C927CD3780f5d3C266C7,SCAT,Avalanche,,0,,Reserve Currency,['Avalanche'],,snowcatdao,0.0,,,2022-07-23
1104,AgarthaDAO,avax:0xa5b0f5ef809fd04c9d4320211c711cb34ef812dd,CLAVIS,Avalanche,clavis,0,16328,Reserve Currency,['Avalanche'],,agarthadao,0.0,,0.0,2022-07-23
1170,MetaReserve,bsc:0x000c6322Df760155bBe4F20F2EDD8F4Cd35733A6,POWER,Binance,metareserve,0,16633,Reserve Currency,['Binance'],,metareserve,0.0,9168.55,0.0,2022-07-23
1175,Xenophon,bsc:0x3e29633846E8b857B7f6d7f293F895186804264b,XPH,Binance,,0,,Reserve Currency,['Binance'],,xenophon,0.0,,,2022-07-23
1177,Whale Loans,bsc:0x453939C0270e9405876C7f047aDE3932FD2d7a51,HUMP,Binance,humpback,2,16812,Reserve Currency,['Binance'],['Chainlink'],whale-loans,0.0,35000.0,0.0,2022-07-23
1214,Karma DAO,avax:0x5ccff6723f592c223e7b31c6872ba999a028653f,KARMA,Avalanche,karma-dao,0,5935,Reserve Currency,['Avalanche'],,karma-dao,0.0,63236.0,35542.0,2022-07-23
1219,Trapeza Protocol,bsc:0x414a36a4b79Ee1D4b454AB798E4179ffC00b1641,FIDL,Binance,trapeza-protocol,0,17625,Reserve Currency,['Binance'],,trapeza-protocol,0.0,,0.0,2022-07-23
1251,Kandyland Finance,avax:0x37ded665a387a6f170fb60376b3057f09df6c0ea,KANDY,Avalanche,kandy,0,17256,Reserve Currency,['Avalanche'],,kandyland-finance,0.0,,0.0,2022-07-23
1313,NoahArkDAO,avax:0x61a47034276eb993e1c5e67bf1375ad0a48f10f6,NRK,Avalanche,noahark,0,17649,Reserve Currency,['Avalanche'],,noaharkdao,0.0,802306346.0,0.0,2022-07-23
1362,Hexal,bsc:0x57612d60b415ad812da9a7cf5672084796a4ab81,HXL,Binance,,0,,Reserve Currency,['Binance'],,hexal,0.0,,,2022-07-23
1516,RHEA DAO,klaytn:0x0758fB651282581F86316514E8F5021493E9eD83,RHEA,Klaytn,,0,,Reserve Currency,['Klaytn'],[],rhea-dao,0.0,,,2022-07-23
1526,Metavault DAO,fantom:0x27746007e821aeec6f9c65cbfda04870c236346c,MVD,Fantom,metavault,0,,Reserve Currency,['Fantom'],[],metavault-dao,0.0,,437017.0,2022-07-23
1625,DarumaDAO,godwoken:0x81E60A955DC8c4d25535C358fcFE979351d102B5,DRM,Godwoken,,0,,Reserve Currency,['Godwoken'],['TWAP'],darumadao,0.0,,,2022-07-23
1686,Ignite Finance,klaytn:0x7cd4a64946e91989a21548362c18052704fe5ed6,TINDER,Klaytn,,0,,Reserve Currency,['Klaytn'],[],ignite-finance,0.0,,,2022-07-23
